Item name,What the item is for in your project,Item source,Item price (include shipping + taxes),Quantity,Total price (USD),URL
DC 6V Motor with gear,Used for drive motors for the robot,Amazon,6.71 USD,1,6.71,"https://www.aliexpress.com/item/1005005847467025.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.1.3dcfHJvKHJvKyd&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=8268eb4c-8397-4510-aa1c-e47c9dc0fb88&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:8268eb4c-8397-4510-aa1c-e47c9dc0fb88,tpp_buckets:668%232846%238108%231977&pdp_ext_f=%7B%22order%22%3A%22890%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%7D&pdp_npi=4%40dis%21CAD%216.40%215.69%21%21%214.52%214.02%21%402101c5ac17480433599158131e2123%2112000034561372381%21rec%21CA%21%21ABXZ&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A"
"CNHL 3S Lipo Battery 2200mAh 30C 11.1V with XT60 Plug for RC Car Airplane Helicopter Quadcopte Drone,Racing Hobby(2 Packs)",Used to power Robots,Amazon,34.72 USD,1,34.72,https://www.amazon.ca/CNHL-Battery-Airplane-Helicopter-Quadcopte/dp/B0B6N7BTVN/ref=sr_1_46?crid=3OUQI5CEIROD8&dib=eyJ2IjoiMSJ9.NkMcU2K0Zpq5em273ofRqiTajWM77CEGWWxdQYor_iGb85Z7qXWVsancC70j9wEdL7ce93NucY9bk9SNwC_2KKZLIdRxY3RwunMix9e_XBAbGt93EuZsw5BMhOdcV1Fup3q8aTUdrrxrDVGZaanYj604_NXNFagglB88P17UTSkNlwIFUxOziFGhAhnmh9mny6H2-PGhuygYEiOefC0zMU9qbmkBqbqNsk0or0kaz-T66C2Mnv1Vz4cxuKVaSQ4yLctVjJ4ohESCRRscADmBKTp4Hvd774VqyRFepcYjT8I.K-3Z2-5uscHjCreMv5OgUqThEL0p6W7Kbesw4EAsS8o&dib_tag=se&keywords=3s+lipo+battery&qid=1747420964&refinements=p_72%3A11192170011&rnid=11192166011&sprefix=3s+lipo+battery%2Caps%2C280&sr=8-46
RC B3 LiPo 2S-3S Battery Balancer Charger 7.4v-11.1V RC Pro Compact Charger B3AC,Used to charge lipo battery,Amazon,12.11 USD,1,12.11,https://www.amazon.ca/Battery-Balancer-Charger-7-4-11-1V-Compact/dp/B06XR87987/ref=pd_bxgy_d_sccl_2/134-3143840-0443618?pd_rd_w=mLUv6&content-id=amzn1.sym.c59b76b3-4b10-4b0d-81a5-397453a3b786&pf_rd_p=c59b76b3-4b10-4b0d-81a5-397453a3b786&pf_rd_r=70KW0DJ83TTR9H1CMBRM&pd_rd_wg=YAHP5&pd_rd_r=12af9b44-c63b-457c-be97-3159cac3c1e2&pd_rd_i=B06XR87987&psc=1#averageCustomerReviewsAnchor
10pcs DC to DC High Efficiency Voltage Regulator Step Down Module 2596 Voltage stabilization 24V to 12V 5V 3V Buck Converter,Used to step down to different voltages for each component,Amazon,14.53 USD,1,14.53,https://www.amazon.ca/Podazz-Efficiency-Regulator-stabilization-Converter/dp/B0CTH5Q2KT/ref=sr_1_5?crid=2N4YIVSBA2AEP&dib=eyJ2IjoiMSJ9.1x8kSYNbqZPdCDbuJZ8ul8xPIl-zSP-GoEJCTfFO5SHG5_v3E8CO8bex4uYUDDyHl0py2BsS2f1GKjjxEYxfC7WGfyXM5QMX1fCbMRsfKIDGC3xAUVW7V1Zh9aJuVhNBMQ0LT2ITgjri-aG0hLg8w9gEzLeXmfbJ57KbfBEjkR8bQZFgb2wPro6xRUYYOiCGhUoKgROr-F5ODQdP-0vhYD-L5WSHAj7sLHhE0JSgZ57bicAcjTvB0seuLjRG0cnfJ9eOjQAXCTR_gBot0pMgzDJvKocrH4gBM76wwozqPDA.jWj8QYOcfT8LbNYo9XkBW0xqc7hkIvG9iKO7RUdXNuE&dib_tag=se&keywords=buck+converter+12v+to+3-5v&qid=1747410888&sprefix=buck+converter+12v+to+3-5v%2Caps%2C172&sr=8-5
Wago Connectors,"Connect wires together, decrease mess when wiring",Amazon,7.59 USD,1,7.59,https://www.amazon.ca/WAGO-221-412-Lever-Nuts-2-Conductor-Connectors/dp/B07W4RQ6R6/ref=sr_1_3?crid=22XX7HYU7NRCN&dib=eyJ2IjoiMSJ9.UcXYhKFy_Gdzpi9kaXh2J3O5yYS51UmVO8gdL6ad4dulyczTeTpRSFMMTiO8Zy0XCPqPnbU20tL2e3v3RDYSdm1-kXfrLCFT3fepmIziAB__FX6K80mV4Rt7TBwLC_JaHxQSki9Xi8KFXMCG0cmt08ElSbwcvdIZz2HTNaKg61eZhPT5YN7Nnk-zQXl-TKB2hDHeeykGtpoMt4mOT4sbC9xC72oYIF0ySlC_8OauKkB8LUbHiaDyftK4lMhDiLjAQ-BcF2t6ZlNhgL4m-R4kIM_Y4pr78zaKJjJoZwAz8ZY.oXIILM5tvvpQ5F1Cqo-KrrLN8xJ1MsgmyR1TbmscikI&dib_tag=se&keywords=wago+connectors&qid=1747420624&refinements=p_72%3A11192170011&rnid=11192166011&sprefix=wago+connectors%2Caps%2C196&sr=8-3
Terminal Connectors,Power distributions on protoboard,Aliexpress,3.56 USD,1,3.56,https://www.aliexpress.com/item/1005006642865467.html?spm=a2g0o.productlist.main.2.19102a8b3dXBVz&algo_pvid=eef44fa0-54e3-4f96-bc43-206dfe8a7d88&algo_exp_id=eef44fa0-54e3-4f96-bc43-206dfe8a7d88-1&pdp_ext_f=%7B%22order%22%3A%223390%22%2C%22eval%22%3A%221%22%7D&pdp_npi=4%40dis%21CAD%212.46%211.76%21%21%211.76%211.26%21%40210318ec17492564291527946e8d67%2112000037920678995%21sea%21CA%210%21ABX&curPageLogUid=Ahyg0hGQPWPO&utparam-url=scene%3Asearch%7Cquery_from%3A
Protoboard (2-8),Power distributions,Aliexpress,1.77 USD,1,1.77,"https://www.aliexpress.com/item/1005006829112244.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.1.386cMPc7MPc7GI&gps-id=pcDetailTopMoreOtherSeller&scm=1007.40050.354490.0&scm_id=1007.40050.354490.0&scm-url=1007.40050.354490.0&pvid=3de22777-6dd0-43c2-8af6-3c12a8ffb3e4&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.40050.354490.0,pvid:3de22777-6dd0-43c2-8af6-3c12a8ffb3e4,tpp_buckets:668%232846%238112%231997&pdp_ext_f=%7B%22order%22%3A%22828%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%7D&pdp_npi=4%40dis%21CAD%211.34%211.34%21%21%216.87%216.87%21%402103273e17492563515192049eaf25%2112000038437276860%21rec%21CA%212816579118%21X&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A"
CNC for weapon,BattleBot Weapon,JLCPCB,83.5 USD,1,83.5,
,,,,,,
,,,,,164.49,
